"easting" "northing" "band1" "band2" "band3" "band4" "band5" "band6" "band7"
21 9 87 40 45 84 112 129 48
21 10 83 37 40 90 110 130 45
21 11 82 37 38 90 105 130 43
21 12 81 37 37 87 100 129 40
21 13 79 37 36 88 101 129 41
21 14 76 34 35 81 104 129 44
21 15 75 34 34 81 105 129 42
21 16 78 34 36 81 104 129 42
21 17 77 35 34 81 99 129 40
21 18 77 34 34 79 98 129 38
21 19 78 34 34 80 92 129 35
21 20 76 33 34 77 86 127 33
21 21 75 34 31 88 92 127 35
21 22 78 33 32 90 96 127 35
21 23 78 34 34 91 101 130 38
21 24 78 35 35 92 100 134 38
21 25 77 34 34 91 101 134 38
21 26 78 34 34 89 99 134 38
21 27 76 35 34 79 68 127 27
21 28 69 28 25 50 41 124 18
21 29 67 25 24 43 56 124 24
21 30 69 27 29 48 67 124 31
22 1 84 38 43 79 104 129 46
22 2 84 39 42 81 103 129 45
22 3 83 38 41 84 106 129 45
22 4 82 38 41 86 105 129 45
22 5 83 39 41 88 106 129 46
22 6 83 39 41 88 108 129 46
22 7 84 40 44 88 109 130 45
22 8 87 39 43 88 112 130 48
22 9 85 40 45 85 109 131 43
22 10 82 37 38 91 109 131 44
22 11 81 37 38 91 108 131 42
22 12 82 36 37 87 104 130 43
22 13 79 36 35 86 103 129 42
22 14 78 35 35 84 104 129 42
22 15 77 34 35 83 104 129 42
22 16 78 35 35 82 103 129 42
22 17 78 35 34 80 98 129 39
22 18 79 33 33 77 93 129 38
22 19 78 32 33 75 88 129 37
22 20 74 33 34 77 90 127 37
22 21 76 34 31 87 93 128 35
22 22 78 34 33 91 97 128 37
22 23 79 35 34 93 102 130 38
22 24 78 36 36 95 101 134 37
22 25 77 34 34 95 102 134 38
22 26 77 34 34 93 102 134 39
22 27 77 35 35 88 85 129 35
22 28 72 31 30 64 54 124 23
22 29 67 26 25 45 55 124 23
22 30 69 27 28 47 68 124 29
23 1 82 38 40 81 104 129 46
23 2 85 40 44 81 105 129 45
23 3 84 39 41 85 106 128 43
23 4 82 38 40 89 106 129 44
23 5 82 39 40 88 108 130 45
23 6 83 41 42 87 112 130 46
23 7 85 40 44 87 112 130 46
23 8 86 39 41 88 112 130 47
23 9 82 36 39 82 105 131 44
23 10 81 37 37 86 108 131 44
23 11 80 36 37 89 105 131 41
23 12 79 34 35 82 101 131 42
23 13 78 35 35 84 104 129 41
23 14 77 35 35 84 103 129 42
23 15 77 34 35 84 105 129 41
23 16 77 33 34 84 105 129 40
